first_name,last_name,description
Radia,Perlman,"Conhecida como a 'mãe da internet', desenvolveu o algoritmo Spanning Tree Protocol (STP), fundamental para a operação das redes Ethernet modernas, permitindo a comunicação eficiente entre dispositivos em redes locais."
Frances,Allen,"Pioneira na otimização de compiladores, desenvolveu técnicas que melhoraram a eficiência dos programas de computador. Foi a primeira mulher a receber o Prêmio Turing, considerado o 'Nobel da computação'."
Barbara,Liskov,"Cientista da computação, desenvolveu o princípio da substituição de Liskov. O ""L"" de SOLID se refere a ela. Liderou o projeto do Argus, um dos primeiros sistemas a implementar transações distribuídas e recuperação automática."
Marissa,Mayer,"Primeira engenheira de software do Google, contribuiu para o desenvolvimento da interface de usuário do Google Search. Posteriormente, foi CEO do Yahoo, liderando a empresa em um período de transformação digital."
Dorothy,Vaughan,"Matemática e programadora da NASA, foi uma das primeiras mulheres afro-americanas a trabalhar como programadora em computadores eletrônicos. Foi pioneira na programação em COBOL."
Sister Mary Kenneth,Keller,Primeira mulher a obter um doutorado em ciência da computação nos Estados Unidos. Contribuiu para a introdução da computação no ensino superior e foi defensora do uso de computadores na educação.
Annie,Easley,"Matemática e cientista da computação, trabalhou na NASA desenvolvendo software para foguetes e sistemas de controle de voo. Foi uma das primeiras mulheres afro-americanas a trabalhar como cientista na NASA."
Margaret,Hamilton,"Engenheira de software na missão Apollo da NASA, desenvolveu o software de controle de voo que foi crucial para o sucesso das missões lunares. Ela é creditada por ter cunhado o termo 'engenharia de software'."
Lynn,Conway,"Cientista da computação, trabalhou no desenvolvimento de computadores eletrônicos e hardware. Foi pioneira na arquitetura de computadores e na programação de sistemas operacionais."
Daphne,Koller,"Cientista da computação israelense-americana, professora na Universidade de Stanford e cofundadora do Coursera, plataforma de educação online. Suas pesquisas incluem aprendizado de máquina, modelos gráficos probabilísticos e suas aplicações em biomedicina. Fundadora e CEO da insitro, empresa que utiliza aprendizado de máquina para descoberta de medicamentos."
Timnit,Gebru,"Pesquisadora em inteligência artificial, ética algorítmica e mineração de dados. Cofundadora do Black in AI, uma iniciativa que promove a inclusão de profissionais negros na área de IA. Fundadora do Distributed Artificial Intelligence Research Institute (DAIR), focado em desenvolver IA ética e acessível. Sua pesquisa destaca os vieses e impactos ambientais de modelos de linguagem em larga escala, defendendo uma abordagem mais equitativa e transparente no desenvolvimento de IA."
Chieko,Asakawa,"Pesquisadora no campo da acessibilidade digital, desenvolveu tecnologias inovadoras como o IBM Home Page Reader, um sistema de navegação na web por voz para deficientes visuais. Seu trabalho contínuo explora como a inteligência artificial pode aumentar a independência de pessoas com deficiências, promovendo uma sociedade mais inclusiva."
Mary Jane,Irwin,"Especialista em arquitetura de computadores, com foco em sistemas embarcados e computação móvel. Sua pesquisa aborda o design de sistemas computacionais com consciência de energia e confiabilidade, além de explorar tecnologias emergentes em sistemas computacionais."
Anita,Borg,"Pioneira na promoção da participação feminina em tecnologia, cofundadora da Grace Hopper Celebration, a maior conferência de mulheres na computação. Fundadora do Instituted for Women and Technology, que mais tarde se tornou o Anita Borg Institute, dedicado a apoiar mulheres na tecnologia."
Reshma,Saujani,"Fundadora do Girls Who Code, uma organização sem fins lucrativos que visa fechar a lacuna de gênero na tecnologia, oferecendo educação em ciência da computação para meninas. Seu trabalho tem sido fundamental para aumentar a participação feminina na área de tecnologia."
Jennifer,Klawe,"Presidente do Harvey Mudd College, com contribuições significativas em matemática e ciência da computação. Seu trabalho inclui análise funcional, matemática discreta, ciência da computação teórica e interação humano-computador. É defensora da inclusão de mulheres e minorias sub-representadas em STEM."
Shafi,Goldwasser,"Premiada com o Prêmio Turing em 2012 por suas contribuições fundamentais à criptografia. Desenvolveu os fundamentos teóricos da criptografia moderna, incluindo provas interativas de conhecimento zero e criptografia probabilística, com aplicações em segurança e privacidade."
Fei-Fei,Li,"Pesquisadora em inteligência artificial, conhecida por seu trabalho no desenvolvimento do ImageNet, um banco de dados visual que impulsionou o avanço do aprendizado profundo. Cofundadora do AI4ALL, uma iniciativa para aumentar a diversidade na IA. Atualmente, lidera a World Labs, focada em inteligência artificial espacial."
Mary,Sieckenius,"Pesquisadora em ciência da computação, com foco em áreas como aprendizado de máquina, processamento de linguagem natural e ética em IA. Seu trabalho contribui para o desenvolvimento de tecnologias de IA mais justas e acessíveis."
